SenderSetup.xml loaded!
sending to host: localhost Port: 4000
Connecting to localhost:801 ...
.Segment Data Enabled: False
Marker Data Enabled: True
Unlabeled Marker Data Enabled: False
Device Data Enabled: False
 11976/M_3 209.329 1279.1 1164.3
 11979/M_1 200.288 1339.45 1200.92
 11979/M_2 211.381 1305.23 1182.66
 11979/M_3 209.533 1287.41 1163.91
 11982/M_1 199.521 1346.82 1200.69
 11982/M_2 211.045 1312.63 1182.57
 11982/M_3 207.905 1293.61 1164.13
 11985/M_1 198.863 1353.7 1200.53
 11985/M_2 210.793 1319.8 1182.19
 11985/M_3 208.092 1300.57 1163.8
 11988/M_1 198.098 1359.95 1200.3
 11988/M_2 210.277 1326.1 1181.97
 11988/M_3 207.631 1307.07 1163.39
 11991/M_1 197.188 1365.82 1200.11
 11991/M_2 209.704 1332.09 1181.65
 11991/M_3 208.746 1314.2 1162.86
 11994/M_1 196.01 1371.35 1199.83
 11994/M_2 208.944 1337.83 1181.48
 11994/M_3 209.699 1320.73 1162.27
 11997/M_1 194.916 1376.51 1199.55
 11997/M_2 208.169 1342.89 1181.14
 11997/M_3 207.057 1324.33 1162.46
 12000/M_1 194.041 1381.12 1199.17
Frame Number: 12000 Latency: 0s  Markers: 3
 12000/M_2 207.543 1347.7 1180.58
 12000/M_3 206.238 1329.06 1161.88
 12003/M_1 193.057 1385.32 1198.78
 12003/M_2 206.854 1351.9 1180.16
 12003/M_3 205.851 1333.46 1161.73
 12006/M_1 191.887 1389.31 1198.48
 12006/M_2 205.929 1356.03 1179.94
 12006/M_3 204.309 1336.6 1161.56
 12009/M_1 190.846 1392.87 1198.11
 12009/M_2 205.214 1359.75 1179.53
 12009/M_3 204.732 1341.33 1160.81
 12012/M_1 189.949 1396.01 1197.76
 12012/M_2 204.345 1362.93 1179.11
 12012/M_3 205.09 1345.39 1160.34
 12015/M_1 189.055 1398.81 1197.44
 12015/M_2 203.656 1365.73 1178.79
 12015/M_3 204.231 1347.98 1160.07
 12018/M_1 187.964 1401.44 1197.28
 12018/M_2 202.823 1368.51 1178.58
 12018/M_3 203.645 1350.81 1159.88
 12021/M_1 186.975 1403.72 1197.14
 12021/M_2 202.194 1370.97 1178.4
 12021/M_3 202.666 1352.91 1159.71
 12024/M_1 186.174 1405.75 1196.88
 12024/M_2 201.365 1373.03 1178.17
 12024/M_3 200.913 1354.19 1159.41
 12027/M_1 185.39 1407.58 1196.57
 12027/M_2 200.651 1374.81 1177.78
 12027/M_3 201.657 1357.06 1159.16
 12030/M_1 184.583 1409.19 1196.27
Frame Number: 12030 Latency: 0s  Markers: 3
 12030/M_2 200.144 1376.54 1177.63
 12030/M_3 200.761 1358.61 1158.66
 12033/M_1 183.957 1410.66 1196.02
 12033/M_2 199.602 1378.05 1177.41
 12033/M_3 198.591 1358.57 1159.02
 12036/M_1 183.616 1411.99 1195.72
 12036/M_2 199.279 1379.41 1177.08
 12036/M_3 198.462 1359.98 1158.69
 12039/M_1 183.489 1413.38 1195.41
 12039/M_2 199.121 1380.78 1176.76
 12039/M_3 200.207 1362.95 1158.13
 12042/M_1 183.136 1414.78 1195.21
 12042/M_2 199.014 1382.26 1176.59
 12042/M_3 199.459 1363.83 1157.93
 12045/M_1 182.928 1416.28 1195.02
 12045/M_2 198.974 1383.83 1176.53
 12045/M_3 200.19 1365.9 1157.91
 12048/M_1 182.851 1417.53 1194.91
 12048/M_2 198.973 1385.18 1176.27
 12048/M_3 200.361 1367.38 1157.63
 12051/M_1 182.757 1418.85 1194.79
 12051/M_2 198.899 1386.51 1176.06
 12051/M_3 198.266 1367.07 1157.66
 12054/M_1 182.511 1419.83 1194.77
 12054/M_2 198.745 1387.58 1176.06
 12054/M_3 199.544 1369.2 1157.36
 12057/M_1 182.303 1420.5 1194.84
 12057/M_2 198.6 1388.34 1176.07
 12057/M_3 200.264 1370.56 1157.35
 12060/M_1 182.295 1420.86 1194.83
Frame Number: 12060 Latency: 0s  Markers: 3
 12060/M_2 198.517 1388.65 1176.01
 12060/M_3 199.743 1370.74 1157.06
 12063/M_1 182.432 1420.79 1194.85
 12063/M_2 198.564 1388.57 1175.91
 12063/M_3 199.8 1370.74 1156.94
 12066/M_1 182.493 1420.47 1194.89
 12066/M_2 198.671 1388.26 1175.98
 12066/M_3 200.273 1370.59 1157.23
 12069/M_1 182.463 1420 1194.96
 12069/M_2 198.651 1387.75 1176.14
 12069/M_3 200.249 1370.05 1157.47
 12072/M_1 182.396 1419.27 1195
 12072/M_2 198.471 1386.96 1176.18
 12072/M_3 199.104 1368.55 1157.54
 12075/M_1 182.254 1418.27 1195.05
 12075/M_2 198.177 1385.86 1176.19
 12075/M_3 199.683 1368.17 1157.62
 12078/M_1 182.034 1417.26 1195
 12078/M_2 197.847 1384.79 1176.15
 12078/M_3 197.027 1365.33 1157.73
 12081/M_1 181.622 1416.25 1195.08
 12081/M_2 197.397 1383.68 1176.39
 12081/M_3 197.611 1365.18 1157.67
 12084/M_1 181.237 1415.15 1195.01
 12084/M_2 196.877 1382.56 1176.37
 12084/M_3 195.943 1363.01 1157.97
 12087/M_1 180.8 1414.16 1194.78
 12087/M_2 196.318 1381.42 1176.04
 12087/M_3 196.848 1363.21 1157.51
 12090/M_1 179.937 1413.28 1194.41
Frame Number: 12090 Latency: 0s  Markers: 3
 12090/M_2 195.215 1380.35 1175.85
 12090/M_3 195.272 1361.83 1157.53
 12093/M_1 178.618 1412.56 1193.94
 12093/M_2 193.836 1379.69 1175.59
 12093/M_3 194.823 1361.71 1156.98
 12096/M_1 177.213 1412.03 1193.4
 12096/M_2 192.399 1378.95 1175.05
 12096/M_3 192.794 1360.29 1156.59
 12099/M_1 175.542 1411.56 1192.88
 12099/M_2 190.388 1378.4 1174.53
 12099/M_3 189.283 1358.65 1156.41
 12102/M_1 173.422 1411.15 1192.52
 12102/M_2 188.275 1377.99 1174.07
 12102/M_3 186.907 1358.23 1156.11
 12105/M_1 170.65 1410.93 1192.47
 12105/M_2 185.438 1377.71 1174.23
