SenderSetup.xml loaded!
sending to host: localhost Port: 4000
Connecting to localhost:801 ...
.Segment Data Enabled: False
Marker Data Enabled: True
Unlabeled Marker Data Enabled: False
Device Data Enabled: False
... 2033/M_1 0 0 0
 2383/M_2 127.822 1164.01 1798
 2383/M_3 139.601 1138.88 1812.12
 2387/M_1 135.222 1110.45 1818.24
 2387/M_2 118.573 1165.73 1801.64
 2387/M_3 131.2 1140.77 1815.89
 2391/M_1 129.574 1112.98 1822.64
 2391/M_2 112.18 1168.1 1805.68
 2391/M_3 125.019 1143.38 1820.26
 2395/M_1 126.84 1115.85 1826.54
 2395/M_2 108.713 1170.88 1809.68
 2395/M_3 121.971 1146.28 1824.23
 2399/M_1 126.535 1118.77 1829.63
 2399/M_2 107.761 1173.65 1812.85
 2399/M_3 121.301 1149.22 1827.45
 2403/M_1 128.038 1120.8 1830.95
 2403/M_2 109.131 1175.78 1814.37
 2403/M_3 122.88 1151.27 1828.89
 2407/M_1 130.663 1121.87 1829.8
 2407/M_2 112.199 1177.15 1813.62
 2407/M_3 125.627 1152.38 1827.91
 2411/M_1 133.883 1122.46 1825.73
 2411/M_2 115.513 1177.87 1809.99
 2411/M_3 128.705 1153.03 1824.2
 2415/M_1 137.21 1122.75 1818.83
 2415/M_2 118.608 1178.31 1803.78
 2415/M_3 132.196 1153.3 1817.62
 2419/M_1 139.83 1122.54 1809.94
 2419/M_2 121.094 1178.29 1795.75
 2419/M_3 134.772 1153.07 1809.15
 2423/M_1 141.714 1122.31 1800.23
 2423/M_2 122.58 1178.22 1786.88
 2423/M_3 136.682 1152.78 1799.73
 2427/M_1 143.073 1122.39 1790.98
 2427/M_2 123.405 1178.28 1778.4
 2427/M_3 137.822 1152.79 1790.81
 2431/M_1 144.247 1122.64 1783.19
 2431/M_2 124 1178.54 1771.33
 2431/M_3 138.862 1153.04 1783.35
 2435/M_1 146.055 1122.98 1777.51
 2435/M_2 125.045 1178.77 1766.26
 2435/M_3 140.367 1153.34 1777.9
 2439/M_1 148.861 1123.36 1774.45
 2439/M_2 127.086 1178.86 1763.44
 2439/M_3 142.83 1153.6 1774.9
 2443/M_1 152.618 1122.61 1773.94
 2443/M_2 130.51 1178 1762.99
 2443/M_3 146.435 1152.83 1774.38
 2447/M_1 157.099 1120.55 1775.29
 2447/M_2 135.25 1176.01 1764.13
 2447/M_3 151.053 1150.8 1775.6
 2451/M_1 161.898 1118.02 1777.76
 2451/M_2 140.412 1173.58 1766.24
 2451/M_3 156.084 1148.3 1777.91
 2455/M_1 166.449 1115.38 1780.65
 2455/M_2 145.428 1171.08 1768.8
 2455/M_3 160.896 1145.71 1780.67
 2459/M_1 170.473 1113.06 1783.4
 2459/M_2 149.912 1169.03 1771.35
 2459/M_3 165.227 1143.53 1783.34
 2463/M_1 174.015 1111.53 1785.58
 2463/M_2 153.654 1167.63 1773.58
 2463/M_3 168.8 1142.04 1785.54
 2467/M_1 176.807 1111.25 1787.24
 2467/M_2 156.399 1167.4 1775.5
 2467/M_3 171.612 1141.78 1787.36
 2471/M_1 178.77 1112.23 1788.47
 2471/M_2 158.22 1168.42 1777.17
 2471/M_3 173.517 1142.69 1788.89
 2475/M_1 180.006 1113.99 1789.41
 2475/M_2 159.244 1170.29 1778.72
 2475/M_3 174.707 1144.49 1790.17
 2479/M_1 180.602 1116.21 1790.06
 2479/M_2 159.489 1172.51 1780.1
 2479/M_3 175.089 1146.69 1791.2
 2483/M_1 180.744 1118.22 1790.57
