/M_1	1	1	233.949	1268.64	1192.45
/M_2	1	1	236.05	1230.72	1177.94
/M_3	1	1	228.839	1211.78	1161.34
/M_1	1	1	235.532	1260.62	1193.43
/M_2	1	1	236.757	1222.43	1179.99
/M_3	1	1	229.707	1203.24	1163.42
/M_1	1	1	237.269	1252.93	1194.53
11730	1	1	Latency:	0s	Markers:
/M_2	1	1	237.508	1214.5	1181.23
/M_3	1	1	230.161	1195.86	1164.58
/M_1	1	1	238.753	1246.2	1195.73
/M_2	1	1	238.361	1207.89	1182.42
/M_3	1	1	230.849	1189.25	1165.97
/M_1	1	1	239.788	1241.39	1196.46
/M_2	1	1	239.158	1202.85	1183.93
/M_3	1	1	231.414	1183.36	1168.14
/M_1	1	1	240.671	1237.89	1196.75
/M_2	1	1	240.076	1199.11	1184.77
/M_3	1	1	232.446	1179.27	1169.42
/M_1	1	1	241.561	1235.04	1196.63
/M_2	1	1	240.727	1196.04	1184.94
/M_3	1	1	232.963	1176.34	1169.82
/M_1	1	1	242.32	1232.85	1196.29
/M_2	1	1	240.898	1193.86	1184.79
/M_3	1	1	232.981	1174.4	1169.57
/M_1	1	1	242.829	1231.87	1195.83
/M_2	1	1	241.11	1192.87	1184.37
/M_3	1	1	232.864	1173.34	1169.26
/M_1	1	1	242.812	1232.36	1195.31
/M_2	1	1	241.265	1193.28	1183.99
/M_3	1	1	232.92	1173.66	1168.86
/M_1	1	1	242.582	1233.94	1194.4
/M_2	1	1	241.315	1194.94	1183.19
/M_3	1	1	232.974	1175.24	1168.12
/M_1	1	1	242.278	1236.14	1193.42
/M_2	1	1	240.96	1197.18	1182.17
/M_3	1	1	232.617	1177.61	1166.82
/M_1	1	1	242.068	1239.09	1192.41
11760	1	1	Latency:	0s	Markers:
/M_2	1	1	240.807	1200.18	1180.58
/M_3	1	1	231.791	1180.55	1165.4
/M_1	1	1	241.773	1243.54	1191.04
/M_2	1	1	240.532	1204.73	1179.05
/M_3	1	1	231.657	1185.23	1163.73
/M_1	1	1	241.358	1249.87	1189.58
/M_2	1	1	240.482	1210.97	1177.64
/M_3	1	1	232.069	1191.43	1162.13
/M_1	1	1	241.011	1257.36	1188.06
/M_2	1	1	240.744	1218.66	1175.78
/M_3	1	1	232.416	1199.04	1160.27
/M_1	1	1	240.736	1265.76	1186.61
/M_2	1	1	240.719	1227.1	1173.91
/M_3	1	1	232.394	1207.68	1158.17
/M_1	1	1	240.346	1275.45	1185.07
/M_2	1	1	240.885	1237.18	1171.87
/M_3	1	1	233.263	1218.11	1155.78
/M_1	1	1	239.585	1286.5	1183.54
/M_2	1	1	241.352	1248.29	1169.92
/M_3	1	1	233.768	1228.81	1154.31
/M_1	1	1	238.541	1298.42	1182.15
/M_2	1	1	241.439	1260.17	1168.44
/M_3	1	1	234.205	1240.49	1152.82
/M_1	1	1	237.389	1310.29	1181.02
/M_2	1	1	241.464	1272.6	1166.6
/M_3	1	1	234.538	1252.81	1150.83
/M_1	1	1	236.22	1322.01	1180.1
/M_2	1	1	240.745	1284.58	1165.36
/M_3	1	1	234.319	1264.85	1149.24
/M_1	1	1	234.541	1333.57	1179.69
11790	1	1	Latency:	0s	Markers:
/M_2	1	1	239.964	1296.38	1164.58
/M_3	1	1	234.184	1276.58	1148.24
/M_1	1	1	232.321	1344.64	1179.72
/M_2	1	1	239.169	1307.91	1164.12
/M_3	1	1	233.777	1288.21	1147.71
/M_1	1	1	229.802	1354.62	1180.05
/M_2	1	1	237.645	1318.39	1163.98
/M_3	1	1	232.576	1298.42	1147.35
/M_1	1	1	227.238	1363.37	1180.45
/M_2	1	1	235.834	1327.6	1163.81
/M_3	1	1	234.375	1309.84	1146.73
/M_1	1	1	224.362	1371.19	1180.77
/M_2	1	1	233.119	1335.6	1163.92
/M_3	1	1	228.352	1315.67	1146.81
/M_1	1	1	220.935	1378.63	1180.89
/M_2	1	1	230.539	1343.19	1163.72
/M_3	1	1	226.711	1323.74	1146.58
/M_1	1	1	217.463	1385.63	1181.07
/M_2	1	1	227.506	1350.69	1163.56
/M_3	1	1	223.513	1331.02	1146.26
/M_1	1	1	213.426	1392.91	1181.04
/M_2	1	1	224.166	1358.28	1163.1
/M_3	1	1	219.546	1338.28	1146.02
/M_1	1	1	208.706	1400.79	1180.86
/M_2	1	1	220.059	1366.77	1162.8
/M_3	1	1	218.326	1347.95	1144.82
/M_1	1	1	203.419	1409.56	1180.78
/M_2	1	1	215.755	1375.38	1162.92
/M_3	1	1	214.491	1356.67	1144.87
/M_1	1	1	198.061	1418.14	1180.51
11820	1	1	Latency:	0s	Markers:
/M_2	1	1	211.479	1384.43	1162.26
/M_3	1	1	210.276	1365.18	1144.36
/M_1	1	1	193.163	1426.24	1180.11
/M_2	1	1	207.256	1393.04	1161.3
/M_3	1	1	205.652	1373.59	1143.39
/M_1	1	1	188.137	1434.38	1179.79
/M_2	1	1	202.95	1401.73	1160.64
/M_3	1	1	203.572	1383.85	1142.31
/M_1	1	1	182.828	1442.49	1179.51
/M_2	1	1	198.733	1410.62	1160.02
/M_3	1	1	199.342	1392.28	1141.46
/M_1	1	1	177.999	1450.07	1178.98
/M_2	1	1	194.764	1418.92	1159.03
/M_3	1	1	196.34	1401.14	1140.45
/M_1	1	1	173.835	1456.83	1178.37
/M_2	1	1	190.898	1426.18	1157.94
/M_3	1	1	193.194	1408.46	1138.63
/M_1	1	1	170.358	1462.36	1178.07
/M_2	1	1	187.891	1432.27	1156.98
/M_3	1	1	190.193	1414.8	1137.36
/M_1	1	1	167.671	1466.34	1177.97
/M_2	1	1	185.57	1436.88	1156.36
/M_3	1	1	188.072	1419.6	1136.31
/M_1	1	1	166.022	1468.44	1177.63
/M_2	1	1	184.504	1439.43	1155.87
/M_3	1	1	186.126	1422.26	1135.73
/M_1	1	1	165.557	1468.44	1177.01
/M_2	1	1	184.5	1439.7	1154.79
/M_3	1	1	185.59	1422.58	1134.72
/M_1	1	1	166.414	1466.42	1175.83
11850	1	1	Latency:	0s	Markers:
/M_2	1	1	184.507	1437.53	1153.61
/M_3	1	1	185.837	1420.31	1133.48
/M_1	1	1	167.953	1462.64	1174.58
/M_2	1	1	185.383	1433.4	1152.17
/M_3	1	1	187.099	1416.51	1131.95
/M_1	1	1	170.19	1457.47	1173.32
/M_2	1	1	187.158	1427.82	1151.35
/M_3	1	1	188.938	1410.85	1130.96
/M_1	1	1	172.982	1451.07	1172.28
/M_2	1	1	189.809	1421.27	1150.39
/M_3	1	1	191.327	1404.05	1130.06
/M_1	1	1	176.052	1443.69	1171.56
/M_2	1	1	192.17	1413.32	1149.83
/M_3	1	1	193.653	1396.02	1129.72
/M_1	1	1	179.103	1435.69	1171.39
/M_2	1	1	194.886	1404.95	1149.86
/M_3	1	1	195.631	1387.81	1129.96
/M_1	1	1	182.04	1427.31	1171.72
/M_2	1	1	197.2	1396.08	1150.62
/M_3	1	1	197.373	1378.93	1130.81
/M_1	1	1	184.862	1418.59	1172.43
